date,team,team_opp,home,won,fg,fga,fg_pct,fg3,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,total,fg_opp,fga_opp,fg_pct_opp,pts_opp,total_opp,season
2024-10-01,DAL,LAL,1,0,44,85,0.44,13,0.4,22,16,12,22,35,17,3,8,14,22,100,6,108,32,85,0.48,110,113,2025
2024-10-01,LAL,DAL,1,0,39,97,0.45,18,0.42,23,19,8,25,31,26,7,8,12,19,102,6,124,39,86,0.54,127,110,2025
2024-10-01,GSW,MIA,1,1,34,84,0.46,16,0.44,17,23,15,32,33,29,8,7,13,17,107,9,107,30,89,0.48,100,106,2025
2024-10-01,MIA,GSW,1,1,38,73,0.41,17,0.36,10,30,13,25,50,29,8,3,15,22,125,-2,116,38,70,0.52,96,125,2025
2024-10-01,MIL,BOS,1,1,31,77,0.54,17,0.38,16,22,10,28,43,22,6,6,12,17,113,9,116,44,100,0.5,105,99,2025
2024-10-01,BOS,MIL,1,0,34,84,0.48,16,0.44,22,28,10,25,31,20,5,3,13,20,91,-3,103,40,97,0.42,105,91,2025
2024-10-01,PHI,NYK,1,1,32,95,0.47,15,0.32,14,22,11,24,35,21,6,8,9,21,130,-9,124,30,72,0.54,104,91,2025
2024-10-01,NYK,PHI,1,1,39,96,0.41,11,0.3,23,28,12,26,41,22,4,7,14,25,128,-2,119,38,98,0.51,104,110,2025
2024-10-01,CHI,BKN,1,1,34,98,0.51,14,0.36,17,21,8,32,38,28,3,2,12,18,114,8,117,32,73,0.55,106,109,2025
2024-10-01,BKN,CHI,1,1,32,84,0.48,14,0.3,24,16,8,32,45,30,9,5,18,20,96,-10,121,33,95,0.44,95,123,2025
2024-10-02,MIL,BOS,1,0,41,99,0.5,15,0.43,20,17,6,23,47,25,3,5,11,16,96,6,101,38,96,0.41,115,90,2025
2024-10-02,BOS,MIL,1,0,48,77,0.52,20,0.44,16,27,7,33,41,26,3,6,9,19,121,-4,104,35,85,0.53,126,92,2025
2024-10-02,NYK,DAL,1,1,30,80,0.48,18,0.4,14,18,8,22,37,23,5,8,9,22,102,7,125,43,94,0.4,96,126,2025
2024-10-02,DAL,NYK,1,1,45,72,0.53,12,0.39,18,29,6,20,34,22,3,6,12,24,109,-2,111,32,94,0.5,91,130,2025
2024-10-02,MIA,BKN,1,0,42,70,0.5,7,0.34,24,26,10,34,44,17,3,2,17,23,116,-2,106,31,80,0.41,117,101,2025
2024-10-02,BKN,MIA,1,1,47,73,0.47,11,0.32,23,16,6,31,44,21,4,2,18,21,114,2,97,35,85,0.44,96,118,2025
2024-10-02,LAL,PHI,1,1,30,91,0.41,15,0.37,24,19,11,20,32,24,8,2,18,18,104,-1,128,34,74,0.4,91,120,2025
2024-10-02,PHI,LAL,1,0,33,77,0.51,17,0.38,18,20,15,20,41,19,5,4,15,15,117,3,118,30,70,0.53,128,128,2025
2024-10-02,GSW,CHI,1,0,46,71,0.5,11,0.31,12,15,8,25,50,23,4,8,13,20,104,-4,116,47,77,0.48,116,97,2025
2024-10-02,CHI,GSW,1,1,50,77,0.4,18,0.43,12,30,10,29,34,23,4,2,16,25,101,9,113,35,89,0.4,93,100,2025
2024-10-03,NYK,MIL,1,1,32,85,0.49,11,0.36,20,29,7,30,43,17,10,7,12,18,111,5,109,49,95,0.42,97,117,2025
2024-10-03,MIL,NYK,1,0,34,81,0.48,9,0.35,15,15,6,27,43,27,8,3,16,17,104,3,112,33,99,0.4,122,108,2025
2024-10-03,PHI,BKN,1,0,46,95,0.49,20,0.34,21,18,15,29,32,27,4,3,12,16,107,0,111,32,99,0.41,125,105,2025
2024-10-03,BKN,PHI,1,0,44,82,0.52,16,0.32,10,21,14,34,34,21,9,6,13,21,93,-2,101,37,88,0.48,118,102,2025
2024-10-03,MIA,DAL,1,0,49,98,0.49,9,0.42,15,24,6,32,31,22,3,5,8,16,90,-9,112,43,76,0.45,115,101,2025
2024-10-03,DAL,MIA,1,1,33,70,0.43,6,0.43,19,22,11,29,41,19,9,4,17,20,112,-9,110,50,97,0.49,97,93,2025
2024-10-03,LAL,BOS,1,1,33,81,0.42,5,0.33,18,18,6,30,34,26,7,2,11,17,125,-10,108,34,82,0.4,107,119,2025
2024-10-03,BOS,LAL,1,0,34,86,0.53,5,0.39,20,23,7,35,46,29,10,3,12,23,96,-8,97,31,79,0.41,113,127,2025
2024-10-03,CHI,GSW,1,1,46,73,0.51,16,0.42,14,23,11,28,35,21,6,2,13,15,119,-7,112,41,80,0.45,118,121,2025
2024-10-03,GSW,CHI,1,0,36,92,0.52,12,0.33,10,20,8,21,38,19,4,2,14,23,99,10,97,39,86,0.52,120,107,2025
2024-10-04,DAL,BOS,1,1,34,83,0.51,16,0.36,25,18,14,32,31,30,9,3,10,21,110,-3,109,31,71,0.52,93,100,2025
